   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, SelectionSort_cmp, SelectionSort_swaps, SelectionSort_time, HeapSort_cmp, HeapSort_swaps, HeapSort_time
 294,         43690,           21554,             47,      8122,         783,         23,             43071,                 286,                 88,        10765,           2140,            34
 295,         43782,           21599,             50,      8809,         778,         28,             43365,                 290,                 94,        10821,           2153,            37
 296,         44104,           21759,             65,      8473,         808,         29,             43660,                 291,                 97,        10899,           2173,            37
 297,         44230,           21821,             52,      8579,         785,         29,             43956,                 287,                 94,        10889,           2167,            34
 298,         44566,           21988,             50,      8536,         798,         29,             44253,                 287,                 95,        10961,           2182,            36
 299,         45042,           22225,             31,      8422,         807,         21,             44551,                 294,                 91,        11032,           2199,            25
 300,         45324,           22365,             31,      8384,         810,         20,             44850,                 291,                 59,        11081,           2207,            25
 301,         45678,           22541,             31,      8825,         820,         20,             45150,                 299,                 59,        11143,           2221,            27
 302,         46004,           22703,             31,      8649,         803,         33,             45451,                 297,                 55,        11181,           2229,            24
 303,         46472,           22936,             31,      8758,         817,         19,             45753,                 297,                 59,        11227,           2236,            25
 304,         47004,           23201,             31,      8703,         805,         19,             46056,                 298,                 59,        11289,           2249,            25
 305,         47436,           23416,             31,      8682,         804,         20,             46360,                 295,                 61,        11267,           2242,            25
 306,         47674,           23534,             33,      8885,         829,         20,             46665,                 300,                 62,        11404,           2272,            25
 307,         47740,           23566,             32,      9141,         803,         34,             46971,                 302,                 60,        11413,           2272,            25
 308,         47916,           23653,             32,      8945,         828,         20,             47278,                 304,                 81,        11470,           2283,            40
 309,         48322,           23855,             32,      9103,         819,         20,             47586,                 299,                 60,        11466,           2277,            25
 310,         48570,           23978,             32,      9087,         839,         20,             47895,                 303,                 60,        11518,           2292,            25
 311,         48930,           24157,             32,      8872,         830,         44,             48205,                 308,                108,        11593,           2311,            40
 312,         49284,           24333,             34,      8865,         830,         25,             48516,                 305,                 64,        11632,           2317,            26
 313,         49430,           24405,             34,      9315,         837,         21,             48828,                 307,                 64,        11669,           2325,            32
 314,         49830,           24604,             58,      9056,         847,         71,             49141,                 311,                112,        11777,           2346,            41
 315,         50434,           24905,             62,      9182,         857,         32,             49455,                 310,                125,        11806,           2351,            27
 316,         50828,           25101,             49,      8760,         858,         22,             49770,                 307,                 63,        11811,           2351,            26
 317,         50904,           25138,             34,      9698,         840,         21,             50086,                 309,                 62,        11901,           2372,            25
 318,         51130,           25250,             34,      9198,         866,         20,             50403,                 310,                 64,        11899,           2370,            25
 319,         51332,           25350,             34,      9375,         850,         20,             50721,                 314,                 65,        11968,           2384,            26
 320,         51450,           25408,             34,      9673,         859,         21,             51040,                 314,                 65,        12041,           2394,            26
 321,         51456,           25410,             34,      9708,         879,         20,             51360,                 310,                110,        12087,           2404,            42
 322,         51680,           25521,             68,      9583,         883,         34,             51681,                 310,                 71,        12086,           2403,            29
 323,         52228,           25794,             35,      9386,         888,         22,             52003,                 315,                 67,        12107,           2408,            27
